,summary,description,neighborhood_overview,availability_30,availability_60,availability_90,availability_365,price,cleaning_fee,security_deposit,accommodates,bedrooms,bathrooms,property_type,room_type,latitude,longitude,zipcode,price_bin,Log_Price,areas,Reservations_In_Next_90_Days,types,nlp_topic
12,"Located in the desirable Park Hill neighborhood of east-central Denver,  lovely views and quiet surroundings.  A well established residential area ,  just east of Downtown.  Two blocks from this treasured landmark of Denver.","Located in the desirable Park Hill neighborhood of east-central Denver,  lovely views and quiet surroundings.  A well established residential area ,  just east of Downtown.  Two blocks from this treasured landmark of Denver. Park Hill neighborhood  is a highly regarded enclave of Denver, two miles directly east of downtown.     I'm three blocks from National Jewish Hospital, 6 blocks away from Rose Hospital & Veterans Hospital . Between here & downtown directly west is  Presbyterian/ Saint Luke's  Medical Center. Three miles east  is Anschutz Med. Center & Children's Hospital.     Private bedroom with queen size bed, small desk , empty closet, shelving with baskets to hold your belongings. Black out curtains , for extra darkness on north and west facing windows. Mountain view in the treetops! Share bathroom. Plenty of free street parking!  One cat , a Norwegian Forest Cat ."" Hypoallergenic"" and sweet natured!   Two blocks from City Park, featuring Museum of Nature & Science, Zoo.   Bic",It's a established older neighborhood with lots of character. And convenient to many urban delights and shopping. Read description above!,0,0,0,61,32,25,100,1,1,1.0,Condominium,Private room,39.7416,-104.93613,80220,under_100,1.5051499783199098,east,90,6,4
15,"Beautiful Townhouse located blocks to Washington Park (Wash Park) quick and easy access to downtown. Easy walk to Light Rail, Whole foods and park.   Amazing property with great deck with Mtn views.   Attached Garage, interior is spectacular.  Great place to get away in Denver and enjoy the park and the city.","Beautiful Townhouse located blocks to Washington Park (Wash Park) quick and easy access to downtown. Easy walk to Light Rail, Whole foods and park.   Amazing property with great deck with Mtn views.   Attached Garage, interior is spectacular.  Great place to get away in Denver and enjoy the park and the city. ABOUT THE HOUSE: - You get the ENTIRE house to yourself including 3 Bedrooms + additional loft room opening up to great deck with Mountain Views.  - The Master has King Bed - The two additional bedrooms have full beds. - Additional Loft room with office desk and pull out futon for extra bed. - 2.5 Bathroom - Full amazing Kitchen with utensils, dishes, glasses, pot and pans – All Bosch high end appliances - Perfect location park access to city or working in the city either downtown or DTC with immediate access to light rail or interstate.  - Free WIFI and Cable TV  - Towels and linens included  - Multilevel Air Conditioned and heated.   - Smoke alarm and C02 detectors throughout -","ABOUT THE NEIGHBORHOOD/LOCATION: - Its Wash Park – just look up wash park and Denver and you will get lot of information for this location. - It is a premier location for the city, with great access to Denver’s most highly rated park, easy access to downtown and Cherry Creek.   - Restaurants, bars and other stores very close, but not close enough to affect noise or any level of inconvenience or crime. TRANSPORTATION & PARKING: - Light Rail is 3 blocks away and run’s directly downtown in less than 15 mins or to DTC in less than 15 mins. - Walk (or run around) fabulous Wash Park – only blocks away    - Easy to get to the house from the airport, easy to locate. - There is an attached 1.5 Car Garage in the bottom of the  house, for 1 car.   Additional parking is easy to find and free on the street. - Very close to other great destinations, like Platt park, Sushi Den and other great restaurants, bars and stores.",10,36,66,122,205,110,0,7,3,2.5,Townhouse,Entire home/apt,39.69859,-104.9813,80209,200_or_more,2.3117538610557498,south,24,5,0
16,"Private small room with own bath on the 2nd floor of a historic building in Baker. Walkable to shopping, theater, bars, galleries, ice cream, restaurants, distilleries & breweries. All the toast and jam you can eat and a handsome dog to pet. This is a cozy internationally influenced home in Denver with a long time Denver resident host.","Private small room with own bath on the 2nd floor of a historic building in Baker. Walkable to shopping, theater, bars, galleries, ice cream, restaurants, distilleries & breweries. All the toast and jam you can eat and a handsome dog to pet. This is a cozy internationally influenced home in Denver with a long time Denver resident host. Private small room in an 1100 sq ft flat on the 2nd floor of a historic building in one of the hottest neighborhoods in Denver. Exposed brick walls,  bamboo floors, stainless steel appliances and modern fixtures.  The room is small. No joke. It's cozy. The bed is a full and it takes most of the room. There is a large warddrobe to place your things in, and if you want to store your suitcases in the living room or the garage, that is fine by me. While the room is small, I welcome you to make yourself at home in the adjoining living room, the dining room, kitchen, deck out back or even the hammock under the deck. Private bedroom w/your own bathroom right ne","The place is in Baker District, within walking distance of the place is the Santa Fe Arts district and the south Broadway district.  The Santa Fe arts  district to the west has 1st Friday events, many many galleries, several breweries and a few very good Mexican Restaurants, one of which has one of the best patios in Denver.  To the east is the South Broadway area which is filled with shopping, restaurants, bars, a vintage movie theater, ice cream, salons, Walgreens, a yoga studio, thrift stores, coffee shops, book stores & several breweries. Restaurants range from pizza by the slice to a few notable dining establishments that won’t disappoint.  There is also a rec center 1 block away with a swimming pool, weight machines and basket ball courts that one can purchase limited use passes to. Across the street is  a city park with a playground and basketball courts and lots of grass to lay down in and stare at the sky.",0,0,0,0,70,30,0,4,1,1.0,Townhouse,Private room,39.71816,-104.9962,80223,under_100,1.84509804001426,south,90,5,0
17,"Business License #: (Phone number hidden by Airbnb) BFN (Phone number hidden by Airbnb)  We LOVE our neighborhood.  We live in an (Phone number hidden by Airbnb) Victorian duplex in a historic neighborhood in Capitol Hill.  We remodeled  15 years ago, so there's some old and some new. Our location is ideal if your activities are based in central Denver-you won't need a car if that's the case.","Business License #: (Phone number hidden by Airbnb) BFN (Phone number hidden by Airbnb)  We LOVE our neighborhood.  We live in an (Phone number hidden by Airbnb) Victorian duplex in a historic neighborhood in Capitol Hill.  We remodeled  15 years ago, so there's some old and some new. Our location is ideal if your activities are based in central Denver-you won't need a car if that's the case. The bedroom  in our remodeled basement has a full bed, dresser and desk.  In addition is  an adjoining den space with a couch and arm chair. There is also a TV with cable.  The entire basement space is mostly for you. (We do come through the den space to access our washer and dryer, and sometimes to fetch gear in another basement storage room.) Given that it is in the basement you may hear footsteps and water passing through the pipes.   You have use of main bathroom on the second floor. (It is also used by other guests - and our adult  daughters who currently live with us-not by us, though - we h","We're close to Cheesman Park, Botanical Gardens and  to City Park (with zoo and Museum of Nature and Science and the Convention Center.  If you're  willing to walk a few more blocks you can also  access to Denver Art Museum, Kirkland Museum, Clifford Still Museum, the 16th Street Mall. You can sample at least 10 different restaurants/coffee shops within one block - and many more are within five blocks.",14,40,70,155,55,0,0,2,1,1.0,House,Private room,39.7413,-104.96933999999999,80218,under_100,1.74036268949424,central,20,1,3
18,"This is a modern condo with fun art and an efficient layout with all of the amenities to cook, watch TV, and just relax. It's on a quiet street with easy access to downtown, bars, restaurant, and parks. We are one block off of Restaurant Row on 17th.","This is a modern condo with fun art and an efficient layout with all of the amenities to cook, watch TV, and just relax. It's on a quiet street with easy access to downtown, bars, restaurant, and parks. We are one block off of Restaurant Row on 17th. The apartment is recently updated with granite counter tops, stainless steel appliances, fast Wifi, and comfortable modern furniture. You'll feel at home in this great quiet neighborhood located just 15 min. walk away from the center of downtown. Parking is included. The bathroom is clean and modern with plenty of room of getting ready in. The bedroom is loft style (seperare room but with trendy 3/4 walls) with a desk, full length mirrors, and a queen size bed. The apartment is on a quiet street with a Starbucks and bagel shop less than 2 blocks away. There are over a dozen restaurants, pubs, and coffee shops within walking distance as well. One of the restaurants that is 3 blocks away was started by a chef of Food Network fame. Public tra","This is the Uptown neighborhood with 3 coffee shops and over a dozen restaurants within a 10 minute walk. It's a quiet street but with easy walking to downtown Denver, the botanical gardens, the hospital, and City Park.",0,24,54,144,110,0,0,2,1,1.0,Apartment,Entire home/apt,39.744279999999996,-104.96285,80218,100_200,2.0413926851582302,central,36,2,7
21,"Beautiful, bright garden studio. This studio opens up to the back yard of a Berkley/West Highland bungalow. Very private, totally remodeled and comfortable space for up to two persons. All the comforts of a hotel suite minus room service.","Beautiful, bright garden studio. This studio opens up to the back yard of a Berkley/West Highland bungalow. Very private, totally remodeled and comfortable space for up to two persons. All the comforts of a hotel suite minus room service. The space is a newly remodeled 400 square feet studio in a quite back yard of a 1920's Denver bungalow. It has one comfortable and firm queen size bed, a full bath, efficiency kitchen, small fridge/freezer, WiFi, and Flat screen HDTV with Apple TV. The space opens up fully to the back yard. Split A/C, quiet and cool! Baseboard heating, toasty warm. Sorry, absolutely NO PETS and NO SMOKING allowed. Thanks for your understanding. Plenty of street parking and back yard. I've found most guests like their privacy and will text me during their visits. Feel free to contact me anytime during your stay! Berkley/Highland neighborhood, lots of hip restaurants, cafes, shops and a short cab ride to LoDo (2.5miles).  One of the hippest zip codes in our country, sur","Berkley/Highland neighborhood, lots of hip restaurants, cafes, shops and a short cab ride to LoDo (2.5miles).  One of the hippest zip codes in our country, surrounded by great restaurants, bars, cafes. A walk score of 80 (Bike score of 80 as well). Six blocks to either 32nd Street shops and to Tennyson Street shops.",8,38,68,342,85,75,400,2,0,1.0,Guesthouse,Entire home/apt,39.77068,-105.03456000000001,80211,under_100,1.9294189257142902,northwest,22,0,2
22,"Cozy townhome within walking distance to best neighborhood in Denver. Stay in a fully equipped home, ready for grilling in the backyard or heading out to amazing local restaurants.","Cozy townhome within walking distance to best neighborhood in Denver. Stay in a fully equipped home, ready for grilling in the backyard or heading out to amazing local restaurants. Walk to Best of Downtown & Lohi!  Cozy & Contemporary Townhome....Stay in one of the most popular neighborhoods in the country! Charming townhouse in Denver's Highlands neighborhood has best of old (1890's construction) and new (exposed brick, contemporary kitchen).  Enjoy drinks in the comfort of a shaded back patio, or make dinner in the cozy, contemporary kitchen. If you don't feel like cooking, all of Denver's hottest, hippest restaurants are within a few easy blocks.  After dinner, grab ice cream or yogurt at one of several locales. Try the famous Little Man Ice Cream! If you want to expand your horizons, Denver's rental bikes are just a few blocks away. Once you're back home, you can call it a night in one of the two upstairs bedrooms.  The master bedroom has a private bathroom.  The other bedroom has","LoHi is one of the fastest growing, hottest neighborhoods not just in Denver, but in the country. The neighborhood has several of the highest rated restaurants in Denver, and is walkable to other neighborhoods as well, including Platte Street, Union Station/LoDo, RiNo and the Highlands. Much of the neighborhood feels very residential, yet you can be at a great watering hole, coffee shop or restaurant within just a few minutes' walk.",21,37,63,63,129,85,500,5,2,2.0,Townhouse,Entire home/apt,39.76659,-105.00957,80211,100_200,2.1105897102992497,northwest,27,5,2
23,"Beautiful studio located in Denver's nicest neighborhood and just two blocks from Wash Park!!! Pet friendly! Within walking distance to the shops and restaurants on Old Gaylord Street, 10 minute Uber to Downtown Denver and just a 5 minute ride to Cherry Creek Shopping Mall. Best location in Denver!","Beautiful studio located in Denver's nicest neighborhood and just two blocks from Wash Park!!! Pet friendly! Within walking distance to the shops and restaurants on Old Gaylord Street, 10 minute Uber to Downtown Denver and just a 5 minute ride to Cherry Creek Shopping Mall. Best location in Denver! Super comfortable queen bed with Tempurpedic mattress topper to ensure a perfect night's sleep. In case you want to veg out, you can kick back on the chase lounge and watch TV (cable, HBO, Showtime, and Netflix all included). There is a mini-fridge to store all of your leftovers from the great restaurants located just walking distance from the studio (also, a microwave to heat it up!). Coffee maker with coffee is included and there is even a small utility sink in the storage closet for washing up dishes. Finally, a fully remodeled bathroom awaits you with glass enclosed shower (basic toiletries included). The park offers a full service Rec center with basketball courts, indoor pool, weight-r","Wash Park is one of the best neighborhoods in Denver. It is located in South Central Denver, close enough to enjoy downtown, Capital Hill, and trendy Cherry Creek. The neighborhood is known for the amazing park just two blocks away. Covering 165 acres, it is one of the largest parks in Denver. Joggers, cyclists, and dog-walkers all flock here and in nice weather, volleyball nets are set for everyone to use. For nightlife, we recommend heading up to the shops and restaurants on Old South Gaylord street (about a 10 minute walk) or if you are looking for something a little more trendy, you can head to Cherry Creek.",0,0,0,0,109,49,100,2,1,1.0,Guest suite,Entire home/apt,39.70418,-104.96721000000001,80209,100_200,2.0374264979406203,south,90,3,4
24,"Consider this your home away from home. This is a cozy, convenient space set up to relax while also having many things to do outside and nearby. The loft is on the second floor, so it's quiet. It is very central to everything Denver has to offer. Put away your car keys and explore this awesome little nook of Denver.","Consider this your home away from home. This is a cozy, convenient space set up to relax while also having many things to do outside and nearby. The loft is on the second floor, so it's quiet. It is very central to everything Denver has to offer. Put away your car keys and explore this awesome little nook of Denver. This condo is a 2 bedroom, 1 bathroom space. Inside, there are 3 memory foam queen beds. One bedroom has a queen bed, a room divider, and a queen bed on the other side. The second bedroom has a comfy Healthcare memory foam queen bed. Both bedrooms are private to the shared space. There is also an L-shaped sectional in the living room which is a comfortable place to sleep as well! Please note that there is NOT a gym in the building. Rather, it is a block away. There is a drop-in fee, but we've had guests who get a free 3-day pass, too. Check out LoHi Athletic Club for details. You get a code when you reserve, and the code is typically the last 4 numbers of the phone number t","This loft is at the edge of Denver, and one of the hottest zip codes in the country. We are close to dozens of dining options; from an award winning cocktail bar to a ramen shop. We've got classy French cuisine and beverages, and we've got a kid-friendly pizza restaurant. Nearby are breweries, wine bars, tapas and rooftop views. In town for sports event? Nearby: Broncos stadium, Coors Field for Rockies games, and the Pepsi events center are all super close.",14,32,54,54,120,30,0,6,2,1.0,Apartment,Entire home/apt,39.760909999999996,-105.01205,80211,100_200,2.0791812460476202,northwest,36,2,0
25,"Clean, bright and open floor plan!  3 bedroom 2.5 bath house in convenient Denver neighborhood. Sleeps 6 in three queen beds. Front porch and side yard patio perfect for lounging, grilling and reading a good book.  Please include guests of all ages in your total number of guests.  Free parking on the street. Denver License # 2016-BFN-OOO7545","Clean, bright and open floor plan!  3 bedroom 2.5 bath house in convenient Denver neighborhood. Sleeps 6 in three queen beds. Front porch and side yard patio perfect for lounging, grilling and reading a good book.  Please include guests of all ages in your total number of guests.  Free parking on the street. Denver License # 2016-BFN-OOO7545 Clean and bright 3 bedroom 2.5 bath house in convenient Denver neighborhood. Sleeps 6 in three queen beds.  Please include guests of all ages in your total number of guests.  Over 1500 Sq. Ft. Modern kitchen. Gas Fireplace. Beautiful stamped concrete patio with outdoor patio furniture in private fenced in yard.   There is free parking in front of the house.  A high chair & pack and play is available upon request. Central Park Rec Center is only 1 mile away- 50,000 sq ft which includes Indoor Pool, Indoor Kiddie Pool, Gym, Weight Room, Cardio Equipment, and Aerobics.  Adult single visit pass is around $6. This home is located in Stapleton; Denver ne","This Denver home is an easy 1 mile walk to the Stapleton town center shops, restaurants and summer markets. Easy 15 minute commute to Downtown Denver, 15 minutes to Cherry Creek shopping, and the airport is also only 20 minutes away.",2,29,59,328,199,120,399,6,3,2.5,House,Entire home/apt,39.75663,-104.88423,80238,100_200,2.29885307640971,northeast,31,1,0
26,This duplex is comfortable with all the amenities for a great stay.  Enjoy all the new restaurants in the neighborhood and walk to Bronco Stadium to see your favorite team battle it out.  About a 30 minute walk to downtown or a quick drive.,"This duplex is comfortable with all the amenities for a great stay.  Enjoy all the new restaurants in the neighborhood and walk to Bronco Stadium to see your favorite team battle it out.  About a 30 minute walk to downtown or a quick drive. Enjoy this updated (Phone number hidden by Airbnb) 's two bedroom, one bathroom duplex in the Jefferson Park neighborhood, which is near downtown Denver.  It is an easy walk to Mile High Stadium (aka Sports Authority Field) (5 blocks) to watch your favorite football team, the Denver Aquarium, Children's Museum, restaurants, grocery shopping, and other boutique shopping.  A neighborhood coffee shop is just one block away. Elitch Gardens and the Pepsi Center are also a stone's throw.  The master bedroom has a queen bed and the second bedroom has a single bed with new mattress.  The kitchen is fully stocked with everything needed to cook at home.  Enjoy relaxing in the fenced backyard or walking to nearby Jefferson Park.  The backyard has an outdoor ta",I love the walkability of the neighbor and that is it easy access to the highway and to downtown.  There are many restaurants in the area.  Neighbors are friendly.,22,45,65,65,98,50,100,3,2,1.0,House,Entire home/apt,39.751459999999994,-105.02246000000001,80211,under_100,1.99122607569249,northwest,25,1,4
